"","UID","Taxon","Abundance","taxon_lumped","taxon_lumped2","non.alga.flag","motile_sessile","Notes"
"182","Fifth Beach HIGH 2012 2","bare rock",0.5,"Bare rock","Bare rock","Substratum",NA,""
"183","Fifth Beach HIGH 2012 2","Cladophora columbiana",2,"Cladophora columbiana","Cladophora columbiana","Algae","sessile",""
"184","Fifth Beach HIGH 2012 2","Cryptosiphonia woodii",1,"Cryptosiphonia woodii","Cryptosiphonia woodii","Algae","sessile",""
"185","Fifth Beach HIGH 2012 2","Elachista fucicola",0.5,"Elachista fucicola","Elachista fucicola","Algae","sessile",""
"186","Fifth Beach HIGH 2012 2","Endocladia muricata",2,"Endocladia muricata","Endocladia muricata","Algae","sessile",""
"187","Fifth Beach HIGH 2012 2","Fucus distichus",88,"Fucus distichus","Fucus distichus","Algae","sessile",""
"188","Fifth Beach HIGH 2012 2","Halosaccion glandiforme",12,"Halosaccion glandiforme","Halosaccion glandiforme","Algae","sessile",""
"189","Fifth Beach HIGH 2012 2","Hildenbrandia occidentalis",35,"Hildenbrandia","Hildenbrandia","Algae","sessile",""
"190","Fifth Beach HIGH 2012 2","Littorina sp.",10,"Littorina sp.","Littorina sp.","Animal","motile",""
"191","Fifth Beach HIGH 2012 2","Lottia sp.",4,"Lottia sp.","Lottia sp.","Animal","motile",""
"192","Fifth Beach HIGH 2012 2","Mastocarpus agardhii",0.5,"Mastocarpus agardhii","Mastocarpus","Algae","sessile","M. agardhii is distinct from others, but we will have to do something with these!!"
"193","Fifth Beach HIGH 2012 2","Mastocarpus alaskensis",5,"Mastocarpus alaskensis","Mastocarpus","Algae","sessile","REVISIT"
"194","Fifth Beach HIGH 2012 2","Mazzaella parvula",1,"Mazzaella parvula","Mazzaella parvula","Algae","sessile",""
"195","Fifth Beach HIGH 2012 2","Microcladia borealis",0.5,"Microcladia borealis","Microcladia borealis","Algae","sessile",""
"196","Fifth Beach HIGH 2012 2","Mytilus sp.",0.5,"Mytilus sp.","Mytilus sp.","Animal","sessile",""
"197","Fifth Beach HIGH 2012 2","Pentidotea sp.",5,"Pentidotea sp.","Pentidotea sp.","Animal","motile",""
"198","Fifth Beach HIGH 2012 2","Petrocelis",0.5,"Petrocelis","Petrocelis","Algae","sessile",""
"199","Fifth Beach HIGH 2012 2","Pyropia perforata",1,"Pyropia perforata","Pyropia","Algae","sessile",""
"200","Fifth Beach HIGH 2012 2","Semibalanus cariosus",1,"Barnacles","Barnacles","Animal","sessile",""
"201","Fifth Beach HIGH 2012 2","Ulva lactuca",0.5,"Ulva lactuca","Ulva","Algae","sessile",""
"202","Fifth Beach HIGH 2012 2","Ulva linza",0.5,"Ulva linza","Ulva","Algae","sessile",""
"203","Fifth Beach HIGH 2012 3","Alaria marginata",2,"Alaria marginata","Alaria marginata","Algae","sessile",""
"204","Fifth Beach HIGH 2012 3","Balanus glandula",40,"Barnacles","Barnacles","Animal","sessile",""
"205","Fifth Beach HIGH 2012 3","Chthamalus dalli",2,"Barnacles","Barnacles","Animal","sessile",""
"206","Fifth Beach HIGH 2012 3","Cryptosiphonia woodii",4,"Cryptosiphonia woodii","Cryptosiphonia woodii","Algae","sessile",""
"207","Fifth Beach HIGH 2012 3","Elachista fucicola",2,"Elachista fucicola","Elachista fucicola","Algae","sessile",""
"208","Fifth Beach HIGH 2012 3","Fucus distichus",98,"Fucus distichus","Fucus distichus","Algae","sessile",""
"209","Fifth Beach HIGH 2012 3","Halosaccion glandiforme",3,"Halosaccion glandiforme","Halosaccion glandiforme","Algae","sessile",""
