taxon,kelp_fucoid_turf,littler_groups,new_cat,new_cat_simple1,new_cat_simple2,new_cat_simple3,funct_Sep2020,flag
Polysiphonia sp.,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,
Polysiphonia spp,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,
Polysiphonia stricta / senticulosa,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,
Porphyra abbottiae,blade,sheet,red blade,blade,red blade,blade,blade,
Porphyra abbottiea,blade,sheet,red blade,blade,red blade,blade,blade,
Porphyra perforata,blade,sheet,red blade,blade,red blade,blade,blade,
Porphyra schizophylla,blade,sheet,red blade,blade,red blade,blade,blade,
Prionitis,red turf,finely branching,red turf,red turf,turf,turf,turf,
Prionitis sternbergii,red turf,finely branching,red turf,red turf,turf,turf,turf,
Prionitis sternbergii lanceolata,red turf,finely branching,red turf,red turf,turf,turf,turf,
Prionitis?,red turf,finely branching,red turf,red turf,turf,turf,turf,
Prionitis sp.,red turf,finely branching,red turf,red turf,turf,turf,turf,
Pseudlolithophyllum muricatum,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,
Pseudolithophyllum muricatum,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,
Pseudolithophyllum neofarlowii,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,
Pseudolithophyllum neofarlowii Spongites tumidum,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,
Pseudolithophyllum whidbeyense,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,
Pterocladiella caloglossoides,red turf,finely branching,red turf,red turf,turf,turf,thin_turf,
Pterosiphonia bipinata,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,
Pterosiphonia bipinnata,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,
Pterosiphonia dendroidea,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,
Pterosiphonia gracilis,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,
Pterygophora californica,Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,
Ptilota,red turf,finely branching,red turf,red turf,turf,turf,thin_turf,
Ptilota serrata,red turf,finely branching,red turf,red turf,turf,turf,thin_turf,
Ptilota serrata filicina,red turf,finely branching,red turf,red turf,turf,turf,thin_turf,
Ptilota sp.,red turf,finely branching,red turf,red turf,turf,turf,thin_turf,
Ptilota spp.,red turf,finely branching,red turf,red turf,turf,turf,thin_turf,
Ptilota tenuis,red turf,finely branching,red turf,red turf,turf,turf,thin_turf,
Pugetia firma,blade,thick leathery,red blade,blade,red blade,blade,blade,
Pugettia firma,blade,thick leathery,red blade,blade,red blade,blade,blade,
Punctaria,blade,thick leathery,brown blade,blade,brown blade,blade,blade,
